mlsfc,mcate_nm,Sex,Age,Month,time,day,fav_plc,click
관광지,드라마/영화촬영지,F,27,1,17,수,떡집,1
관광지,드라마/영화촬영지,M,34,2,23,화,토속/특산물/기념품매장,0
식당,갈비/불고기,M,22,5,7,월,떡집,1
식당,치킨,F,52,11,5,월,컨벤션센터,1
식당,일반한식,M,34,5,23,화,기타전시/박물관,0
식당,닭/오리구이,F,55,1,19,토,파스쿠찌,1
식당,샤브샤브,F,54,4,4,일,나뚜루,0
식당,생고기/등심,M,21,1,17,화,닭익는마을,0
식당,생고기/등심,M,34,11,5,화,기타아이스크림,0
식당,생고기/등심,F,56,3,8,수,폭포/계곡,0
식당,파스타전문,M,30,8,1,수,파스타전문,1
식당,파스타전문,F,27,10,4,수,맘스터치,1
식당,파스타전문,F,50,6,19,금,기타아이스크림,1
식당,퓨전,M,28,8,18,금,아쿠아리움/대형수족관,0
식당,퓨전,F,43,5,23,토,도미노피자,0
식당,찌개/탕전문,M,47,10,13,금,T.G.I.프라이데이스,0
식당,찌개/탕전문,M,31,6,10,목,찌개/탕전문,0
식당,찌개/탕전문,M,26,10,3,일,교촌치킨,0
식당,동남아음식,F,50,2,8,수,도시락,0
식당,해물요리,F,30,11,18,목,로티보이,1
식당,닭/오리구이,M,30,9,19,일,투썸플레이스,0
식당,족발/보쌈,M,38,10,16,일,떡집,0
식당,족발/보쌈,F,37,1,23,목,닭익는마을,0
식당,족발/보쌈,M,16,3,12,일,도미노피자,1
식당,족발/보쌈,F,17,1,2,화,비/탑/문/각,1
식당,족발/보쌈,F,20,10,16,목,대형시민/도심공원,0
식당,족발/보쌈,F,25,6,8,월,전문부페,0
식당,족발/보쌈,F,34,4,11,금,컨벤션센터,1
식당,해물요리,F,45,4,8,월,분식,0
식당,국수전문,F,30,11,24,월,퓨전,0
식당,국수전문,F,53,6,2,월,전문부페,0
식당,국수전문,M,16,10,6,목,스무디킹,1
식당,국수전문,M,27,9,20,월,보물,0
식당,국수전문,M,21,6,3,일,스타벅스,1
식당,국수전문,M,31,10,3,월,지역호수/저수지,0
식당,원할머니보쌈,M,25,9,9,월,일반유원지/일반놀이공원,1
식당,원할머니보쌈,M,24,5,20,일,투썸플레이스,1
식당,피자,F,53,6,8,화,교촌치킨,0
식당,일반한식,F,15,4,15,목,이탈리아음식,1
